"gene","all15_adjusted_technique_logFC","all15_adjusted_technique_FDR","fresh11_logFC","fresh11_FDR","fresh_no_prior_treatment_logFC","fresh_no_prior_treatment_FDR"
"PLP2",-0.0568641900717377,0.987676987381042,-0.0509102548942224,0.955974194500863,-0.153680453863369,0.76600330151552
"CLCN5",-0.467638590881364,0.620497879203569,-0.297169428958347,0.553304576035132,-0.401324761811003,0.425600504166575
"SHROOM4",-0.78494626706149,0.78216388715191,-0.583296607150677,0.709602197727107,-0.816740221642331,0.534389644897746
"MAGED1",-0.0433283351908861,0.975333653661194,0.00981292982238961,0.982567521584643,-0.0275184421210449,0.970471175880853
"GPR173",-0.869020507723548,0.756024783939142,-0.625425385526669,0.707016966668684,-0.7946079115297,0.485160378591964
"TSPYL2",-0.0696219830396291,0.975727322813314,-0.138324010625778,0.78200548951756,-0.275400195719642,0.56122308555548
"KANTR",-0.264180061187698,0.843597380972485,-0.185184737373344,0.787285299040374,-0.210868001701096,0.767654689061113
"IQSEC2",0.228363833010291,0.722654050853002,0.180931018788774,0.633815202176719,0.209922660587562,0.610364968373009
"SMC1A",0.0908971655800938,0.9117360607865,0.110523036769877,0.726008162470312,0.171922605722277,0.518056166425906
"HSD17B10",0.213533568347663,0.958149966463211,0.217795406389058,0.539909812541728,0.241085887703914,0.454646209978998
"HUWE1",0.0580826371752335,0.915615419264746,0.0344991570557702,0.892452868202711,0.0439160920792279,0.875894520613834
"WNK3",-0.14591971651822,0.964219314381286,-0.0704216252020363,0.961663698018687,-0.113886609069017,0.93660172578249
"TSR2",0.214301813538553,0.748129736295606,0.148866280347512,0.607426835575097,0.155135158068707,0.594301230245286
"MAGED2",0.356027343768224,0.923602803613446,0.26795681980774,0.619039507055099,0.27050286732807,0.646736088217769
"MAGEH1",-0.015453712691287,0.994202951143564,-0.015685782851162,0.978226756643844,-0.0801629151837705,0.88696575298677
"RRAGB",0.0345195189654215,0.975727322813314,0.0407709719172255,0.926495146692989,0.0225786988733198,0.970880275567133
"AL050309.1",-0.505025579792851,0.633461558848371,-0.284107627352316,0.65750952685365,-0.36882292206857,0.593079039716702
"NBDY",-0.009756117158765,0.988098841947966,0.0264977052490612,0.946118977935743,0.0275213080127723,0.937464884225664
"LINC01278",-0.238269531957329,0.743988537519481,-0.159979182580279,0.73101121462528,-0.248857326498284,0.643079817908447
"ARHGEF9",-0.243619828058844,0.773839354078259,-0.169606302310563,0.682769929955018,-0.277843453758317,0.514967444917451
