"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblast","myeSC","BMP2","BMPR1A_ACVR2A",0.000116819282067313,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"PC_VSMC","myeSC","BMP2","BMPR1A_ACVR2A",0.000171402227899495,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","Fibroblast","BMP2","BMPR1A_BMPR2",1.42673541639573e-06,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","Fibroblast","BMP2","BMPR1A_BMPR2",7.65467098422405e-05,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"PC_VSMC","Fibroblast","BMP2","BMPR1A_BMPR2",0.000112314060415701,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","myeSC","BMP2","BMPR1A_BMPR2",3.06990136152152e-06,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","myeSC","BMP2","BMPR1A_BMPR2",0.000164690521112118,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"PC_VSMC","myeSC","BMP2","BMPR1A_BMPR2",0.000241635696251871,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","nmSC","BMP2","BMPR1A_BMPR2",1.71912701013653e-06,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","nmSC","BMP2","BMPR1A_BMPR2",9.22337121658829e-05,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"PC_VSMC","nmSC","BMP2","BMPR1A_BMPR2",0.000135330834230372,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","PC_VSMC","BMP2","BMPR1A_BMPR2",3.73981682312696e-06,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","PC_VSMC","BMP2","BMPR1A_BMPR2",0.000200617001747579,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"PC_VSMC","PC_VSMC","BMP2","BMPR1A_BMPR2",0.00029434036460178,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","myeSC","BMP2","BMPR1B_ACVR2A",4.34698251846797e-06,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","myeSC","BMP2","BMPR1B_ACVR2A",0.000233183220190071,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
