"patient","source","target","pathway","interaction","eligible","expression_support_10pct","ligand_receptor_expression_product"
"SCH9","nmSC","C3high_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,1.66404564238755
"SCH13","nmSC","C3high_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,4.3595911518613
"SCH14","nmSC","C3high_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,5.16270369038786
"SCH1","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,7.26047002125202
"SCH2","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,8.51669061330106
"SCH3","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,3.35521623538824
"SCH4","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,13.5793512133405
"SCH5","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,12.2361139113194
"SCH6","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,8.32302825297274
"SCH7","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,20.9275845388334
"SCH8","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,14.0954975931325
"SCH9","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,1.74798469583201
"SCH13","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,4.72408376150976
"SCH14","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,5.51785836582015
"SCH1","myeSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,637.19688669606
"SCH2","myeSC","C3high_Myeloid","APP","APP_CD74",FALSE,,
"SCH3","myeSC","C3high_Myeloid","APP","APP_CD74",FALSE,,
"SCH4","myeSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,350.968013029005
"SCH5","myeSC","C3high_Myeloid","APP","APP_CD74",FALSE,,
"SCH6","myeSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,485.758458218891
"SCH7","myeSC","C3high_Myeloid","APP","APP_CD74",FALSE,,
"SCH8","myeSC","C3high_Myeloid","APP","APP_CD74",FALSE,,
"SCH9","myeSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,483.491975026422
"SCH13","myeSC","C3high_Myeloid","APP","APP_CD74",FALSE,,
"SCH14","myeSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,778.538650369701
"SCH1","nmSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,621.08959706907
"SCH2","nmSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,365.583996668948
"SCH3","nmSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,599.752224122005
"SCH4","nmSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,459.020710381612
"SCH5","nmSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,505.876593948794
"SCH6","nmSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,815.492113663562
"SCH7","nmSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,448.526952158982
"SCH8","nmSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,1060.17793222824
"SCH9","nmSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,447.937563772331
"SCH13","nmSC","C3high_Myeloid","APP","APP_CD74",TRUE,TRUE,579.674282058847
